"","id","end.station.name","latitude","longitude","NumOfTrips"
"1",127,"Barrow St & Hudson St",40.73172428,-74.00674436,1
"2",167,"E 39 St & 3 Ave",40.7489006,-73.97604882,1
"3",212,"W 16 St & The High Line",40.74334935,-74.00681753,1
"4",303,"Mercer St & Spring St",40.72362738,-73.99949601,2
"5",304,"Broadway & Battery Pl",40.70463334,-74.01361706,2
"6",309,"Murray St & West St",40.7149787,-74.013012,2
"7",327,"Vesey Pl & River Terrace",40.7153379,-74.01658354,14
"8",359,"E 47 St & Park Ave",40.75510267,-73.97498696,1
"9",376,"John St & William St",40.70862144,-74.00722156,1
"10",426,"West St & Chambers St",40.71754834,-74.01322069,1
"11",472,"E 32 St & Park Ave",40.7457121,-73.98194829,1
"12",486,"Broadway & W 29 St",40.7462009,-73.98855723,1
"13",514,"12 Ave & W 40 St",40.76087502,-74.00277668,1
"14",526,"E 33 St & 5 Ave",40.74765947,-73.98490707,1
"15",3183,"Exchange Place",40.7162469,-74.0334588,12646
"16",3184,"Paulus Hook",40.7141454,-74.0335519,2787
"17",3185,"City Hall",40.7177325,-74.043845,2475
"18",3186,"Grove St PATH",40.7195861164717,-74.0431174635887,23996
"19",3187,"Warren St",40.7211236,-74.03805095,590
"20",3188,"NJCU",40.7101087,-74.0858489,20
"21",3189,"West Side Light Rail",40.714402,-74.0887723,4
"22",3190,"Garfield Ave Station",40.7104670233797,-74.0700387954712,7
"23",3191,"Union St",40.7182113,-74.0836394,68
"24",3192,"Liberty Light Rail",40.7112423,-74.0557013,365
"25",3193,"Lincoln Park",40.7246050998869,-74.0784059464931,157
"26",3194,"McGinley Square",40.7253399253558,-74.0676221251488,386
"27",3195,"Sip Ave",40.7307426253066,-74.0637838840485,6268
"28",3196,"Riverview Park",40.7443187,-74.0439909,82
"29",3198,"Heights Elevator",40.7487159453802,-74.0404433012009,398
"30",3199,"Newport Pkwy",40.7287448,-74.0321082,1224
"31",3200,"MLK Light Rail",40.7111305,-74.0788855,1
"32",3201,"Dey St",40.737711,-74.066921,247
"33",3202,"Newport PATH",40.7272235,-74.0337589,5399
"34",3203,"Hamilton Park",40.727595966,-74.044247311,854
"35",3205,"JC Medical Center",40.7165397809919,-74.0496379137039,433
"36",3206,"Hilltop",40.7311689,-74.0575736,684
"37",3207,"Oakland Ave",40.7376037,-74.0524783,41
"38",3209,"Brunswick St",40.7241765,-74.0506564,396
"39",3210,"Pershing Field",40.742677141,-74.051788633,197
"40",3211,"Newark Ave",40.72152515,-74.046304543,989
"41",3212,"Christ Hospital",40.734785818,-74.050443636,100
"42",3213,"Van Vorst Park",40.71848892,-74.047726625,570
"43",3214,"Essex Light Rail",40.7127742,-74.0364857,2151
"44",3217,"Bayside Park",40.698650544,-74.082079678,2
"45",3220,"5 Corners Library",40.7349610200095,-74.0595030784607,323
"46",3225,"Baldwin at Montgomery",40.7236589,-74.0641943,245
"47",3267,"Morris Canal",40.7124188237569,-74.0385255217552,590
"48",3268,"Lafayette Park",40.7134638266919,-74.0628585219383,91
"49",3269,"Brunswick & 6th",40.7260117296463,-74.0503889322281,340
"50",3270,"Jersey & 6th St",40.7252891078113,-74.0455716848373,246
"51",3271,"Danforth Light Rail",40.6926399661833,-74.08801227808,3
"52",3272,"Jersey & 3rd",40.7233315864644,-74.0459525585174,359
"53",3273,"Manila & 1st",40.72165072488,-74.0428841114044,2414
"54",3275,"Columbus Drive",40.7183551982321,-74.0389144420624,1414
"55",3276,"Marin Light Rail",40.7145840353589,-74.042817056179,516
"56",3277,"Communipaw & Berry Lane",40.7143583687043,-74.0666109323502,158
"57",3278,"Monmouth and 6th",40.725685483629,-74.0487903356552,100
"58",3279,"Dixon Mills",40.7216301426384,-74.0499678254128,206
"59",3280,"Astor Place",40.719282200707,-74.071261882782,226
"60",3281,"Leonard Gordon Park",40.7459099663156,-74.0572714805603,64
"61",3426,"JCBS Depot",40.7096508336406,-74.0686011314392,146
"62",3461,"Murray St & Greenwich St",40.7148515052625,-74.0112233161926,1
"63",3481,"York St",40.71649,-74.04105,228
"64",3483,"Montgomery St",40.71942,-74.05099,177
"65",3638,"Washington St",40.7242941,-74.0354826,1915
"66",3639,"Harborside",40.7192517,-74.034234,3838
"67",3640,"Journal Square",40.73367,-74.0625,2811
"68",3677,"Glenwood Ave",40.7275514673001,-74.0710607171059,185
"69",3678,"Fairmount Ave",40.7257261374256,-74.0719592571259,58
"70",3679,"Bergen Ave",40.722103786686,-74.0714550018311,139
"71",3681,"Grand St",40.7151776773203,-74.0376833081245,389
"72",3694,"Jackson Square",40.71113,-74.0789,40
