"","end.station.id","end.station.name","end.station.latitude","end.station.longitude","NumOfTrips"
"1",127,"Barrow St & Hudson St",40.73172428,-74.00674436,1
"2",146,"Hudson St & Reade St",40.71625008,-74.0091059,3
"3",157,"Henry St & Atlantic Ave",40.69089272,-73.99612349,9
"4",167,"E 39 St & 3 Ave",40.7489006,-73.97604882,1
"5",212,"W 16 St & The High Line",40.74334935,-74.00681753,1
"6",254,"W 11 St & 6 Ave",40.73532427,-73.99800419,1
"7",259,"South St & Whitehall St",40.70122128,-74.01234218,1
"8",264,"Maiden Ln & Pearl St",40.70706456,-74.00731853,2
"9",276,"Duane St & Greenwich St",40.71748752,-74.0104554,1
"10",303,"Mercer St & Spring St",40.72362738,-73.99949601,2
"11",304,"Broadway & Battery Pl",40.70463334,-74.01361706,10
"12",306,"Cliff St & Fulton St_1",40.70823502,-74.00530063,1
"13",309,"Murray St & West St",40.7149787,-74.013012,3
"14",319,"Fulton St & Broadway",40.711066,-74.009447,1
"15",327,"Vesey Pl & River Terrace",40.7153379,-74.01658354,46
"16",331,"Pike St & Monroe St",40.71173107,-73.99193043,1
"17",336,"Sullivan St & Washington Sq",40.73047747,-73.99906065,1
"18",345,"W 13 St & 6 Ave",40.73649403,-73.99704374,1
"19",353,"S Portland Ave & Hanson Pl",40.68539567,-73.97431458,1
"20",359,"E 47 St & Park Ave",40.75510267,-73.97498696,1
"21",376,"John St & William St",40.70862144,-74.00722156,1
"22",377,"6 Ave & Canal St",40.72243797,-74.00566443,1
"23",380,"W 4 St & 7 Ave S",40.73401143,-74.00293877,1
"24",398,"Atlantic Ave & Furman St",40.69165183,-73.9999786,6
"25",417,"Barclay St & Church St",40.71291224,-74.01020234,1
"26",422,"W 59 St & 10 Ave",40.770513,-73.988038,1
"27",426,"West St & Chambers St",40.71754834,-74.01322069,2
"28",427,"Bus Slip & State St",40.701907,-74.013942,2
"29",447,"8 Ave & W 52 St",40.76370739,-73.9851615,4
"30",448,"W 37 St & 10 Ave",40.75660359,-73.9979009,1
"31",453,"W 22 St & 8 Ave",40.74475148,-73.99915362,1
"32",457,"Broadway & W 58 St",40.76695317,-73.98169333,3
"33",459,"W 20 St & 11 Ave",40.746745,-74.007756,1
"34",462,"W 22 St & 10 Ave",40.74691959,-74.00451887,1
"35",472,"E 32 St & Park Ave",40.7457121,-73.98194829,1
