"","DayOfWeek","hour","Count"
"1",1,0,340
"2",1,1,125
"3",1,2,64
"4",1,3,60
"5",1,4,103
"6",1,5,658
"7",1,6,1770
"8",1,7,4081
"9",1,8,7322
"10",1,9,3133
"11",1,10,1595
"12",1,11,1576
"13",1,12,1741
"14",1,13,1867
"15",1,14,1688
"16",1,15,1881
"17",1,16,2572
"18",1,17,5560
"19",1,18,6796
"20",1,19,4718
"21",1,20,3138
"22",1,21,1902
"23",1,22,1096
"24",1,23,582
"25",2,0,251
"26",2,1,117
"27",2,2,49
"28",2,3,54
"29",2,4,134
"30",2,5,685
"31",2,6,2167
"32",2,7,5187
"33",2,8,8607
"34",2,9,3680
"35",2,10,1718
"36",2,11,1435
"37",2,12,1733
"38",2,13,1620
"39",2,14,1533
"40",2,15,1718
"41",2,16,2487
"42",2,17,5687
"43",2,18,6891
"44",2,19,4681
"45",2,20,3216
"46",2,21,2164
"47",2,22,1241
"48",2,23,589
"49",3,0,303
"50",3,1,140
"51",3,2,60
"52",3,3,49
"53",3,4,150
"54",3,5,717
"55",3,6,2042
"56",3,7,4888
"57",3,8,8392
"58",3,9,3510
"59",3,10,1732
"60",3,11,1612
"61",3,12,1906
"62",3,13,1734
"63",3,14,1688
"64",3,15,1866
"65",3,16,2651
"66",3,17,5603
"67",3,18,6731
"68",3,19,4710
"69",3,20,3154
"70",3,21,2019
"71",3,22,1330
"72",3,23,693
"73",4,0,302
"74",4,1,116
"75",4,2,56
"76",4,3,50
"77",4,4,93
"78",4,5,665
"79",4,6,1999
"80",4,7,4641
"81",4,8,8393
"82",4,9,3645
"83",4,10,1701
"84",4,11,1405
"85",4,12,1822
"86",4,13,1731
"87",4,14,1617
"88",4,15,1802
"89",4,16,2465
"90",4,17,5400
"91",4,18,6398
"92",4,19,4570
"93",4,20,3162
"94",4,21,2092
"95",4,22,1278
"96",4,23,738
"97",5,0,375
"98",5,1,183
"99",5,2,91
"100",5,3,51
"101",5,4,121
"102",5,5,597
"103",5,6,1610
"104",5,7,4000
"105",5,8,7594
"106",5,9,3716
"107",5,10,1847
"108",5,11,1728
"109",5,12,1990
"110",5,13,1885
"111",5,14,1946
"112",5,15,2129
"113",5,16,2902
"114",5,17,5117
"115",5,18,5228
"116",5,19,3620
"117",5,20,2506
"118",5,21,1761
"119",5,22,1277
"120",5,23,796
"121",6,0,630
"122",6,1,354
"123",6,2,187
"124",6,3,121
"125",6,4,82
"126",6,5,128
"127",6,6,355
"128",6,7,817
"129",6,8,1550
"130",6,9,2121
"131",6,10,2725
"132",6,11,3107
"133",6,12,3276
"134",6,13,3289
"135",6,14,2987
"136",6,15,2883
"137",6,16,2767
"138",6,17,2793
"139",6,18,2645
"140",6,19,2178
"141",6,20,1635
"142",6,21,1180
"143",6,22,1009
"144",6,23,785
"145",7,0,563
"146",7,1,362
"147",7,2,253
"148",7,3,144
"149",7,4,107
"150",7,5,85
"151",7,6,225
"152",7,7,576
"153",7,8,1149
"154",7,9,1477
"155",7,10,2321
"156",7,11,2493
"157",7,12,2700
"158",7,13,2915
"159",7,14,2803
"160",7,15,2826
"161",7,16,2617
"162",7,17,2684
"163",7,18,2707
"164",7,19,2215
"165",7,20,1707
"166",7,21,1104
"167",7,22,847
"168",7,23,505
